ID,city,NO,VMDPP,VMKMT,VMOTHER,VCDPP,VCKMT,VCOTHER,VP
B1,B,1,394,480,5,463,398,15,1
B2,B,2,315,361,6,362,304,8,1
B3,B,3,216,270,6,250,219,12,1
B4,B,4,279,310,5,334,250,12,1
B5,B,5,186,254,5,208,226,8,1
B6,B,6,261,333,9,331,250,12,1
B7,B,7,390,459,8,466,380,13,1
B8,B,8,301,313,4,346,260,9,1
B9,B,9,345,435,13,439,343,8,1
B10,B,10,306,412,7,363,339,11,1
B11,B,11,351,498,11,416,427,10,1
B12,B,12,286,423,10,351,331,17,1
B13,B,13,319,380,12,372,317,21,1
B14,B,14,278,459,5,363,365,12,1
B15,B,15,313,501,4,415,382,11,1
B16,B,16,297,587,9,404,473,12,1
B17,B,17,408,623,6,524,476,19,1
B18,B,18,228,310,3,261,267,8,1
B19,B,19,294,332,4,303,315,10,1
B20,B,20,418,637,15,556,499,13,1
B21,B,21,452,651,7,555,529,14,1
B22,B,22,356,524,12,407,463,22,1
B23,B,23,344,364,8,398,300,10,1
B24,B,24,289,359,9,387,271,9,1
B25,B,25,266,322,9,353,226,8,1
B26,B,26,378,511,5,507,377,7,1
B27,B,27,331,404,14,438,303,4,1
B28,B,28,335,473,10,465,336,8,1
B29,B,29,426,561,13,591,403,11,1
B30,B,30,359,463,7,437,366,15,1
B31,B,31,183,326,10,225,282,7,1
B32,B,32,328,237,7,375,184,12,1
B33,B,33,323,355,11,400,271,14,1
B34,B,34,421,461,11,521,356,9,1
B35,B,35,382,489,9,482,370,13,1
B36,B,36,348,491,12,429,404,11,1
B37,B,37,517,682,16,632,561,17,1
B38,B,38,368,422,9,381,421,17,1
B39,B,39,428,496,9,491,430,6,1
B40,B,40,386,346,9,408,332,2,1
B41,B,41,470,446,8,492,408,14,1
B42,B,42,416,353,18,417,346,9,1
B43,B,43,456,426,12,512,371,13,1
B44,B,44,379,354,14,440,294,11,1
B45,B,45,343,435,4,358,400,15,1
B46,B,46,420,469,9,453,433,13,1
B47,B,47,419,494,8,475,432,12,1
B48,B,48,150,289,3,167,268,5,1
B49,B,49,281,259,7,267,278,3,1
B50,B,50,266,323,8,232,357,6,1
B51,B,51,226,336,14,186,390,8,1
B52,B,52,437,490,12,437,510,5,1
B53,B,53,372,445,8,305,524,8,1
B54,B,54,483,525,15,446,563,9,1
B55,B,55,352,379,3,321,398,11,1
B56,B,56,361,404,7,408,344,14,1
B57,B,57,372,542,7,458,435,16,1
B58,B,58,391,603,15,495,500,13,1
B59,B,59,417,515,18,560,361,24,1
B60,B,60,360,399,12,451,305,10,1
B61,B,61,242,424,11,298,363,10,1
B62,B,62,183,273,9,207,248,8,1
B63,B,63,252,320,13,269,300,11,1
B64,B,64,404,507,9,498,411,9,1
B65,B,65,114,190,3,150,153,6,1
B66,B,66,303,444,8,391,349,10,1
B67,B,67,381,659,14,510,527,11,1
B68,B,68,207,287,5,271,220,3,1
B69,B,69,303,432,7,350,371,10,1
B70,B,70,367,354,7,489,226,8,1
B71,B,71,262,427,10,276,333,87,1
B72,B,72,235,447,3,285,368,21,1
B73,B,73,304,466,9,347,358,64,1
B74,B,74,547,776,11,699,557,66,1
B75,B,75,347,569,19,441,440,39,1
B76,B,76,337,672,12,449,533,35,1
B77,B,77,409,610,18,510,482,38,1
B78,B,78,388,583,13,508,430,37,1
B79,B,79,379,546,11,481,436,24,1
B80,B,80,419,581,7,562,393,32,1
B81,B,81,504,816,17,662,571,99,1
B82,B,82,306,486,10,441,335,27,1
B83,B,83,277,460,8,428,278,26,1
B84,B,84,335,494,12,451,359,19,1
B85,B,85,196,418,7,274,327,11,1
B86,B,86,276,460,9,363,357,20,1
B87,B,87,371,553,15,482,410,41,1
B88,B,88,425,575,10,404,548,58,1
B89,B,89,455,624,6,676,359,41,1
B90,B,90,352,477,8,437,363,30,1
B91,B,91,384,413,11,336,316,151,1
B92,B,92,331,367,5,279,287,125,1
B93,B,93,296,313,2,250,227,117,1
B94,B,94,339,420,6,275,313,161,1
B95,B,95,216,243,6,175,201,88,1
B96,B,96,299,326,2,240,293,91,1
B97,B,97,299,317,7,230,273,117,1
B98,B,98,597,526,9,493,433,195,1
B99,B,99,250,248,3,170,236,98,1
B100,B,100,147,145,2,79,181,33,1
B101,B,101,491,421,8,358,396,163,1
B102,B,102,235,285,2,163,267,91,1
B103,B,103,438,454,9,365,331,191,1
B104,B,104,480,467,15,369,381,213,1
B105,B,105,360,417,6,308,328,139,1
B106,B,106,381,488,16,288,367,219,1
B107,B,107,414,434,7,316,319,219,1
B108,B,108,427,478,12,311,298,297,1
B109,B,109,439,436,9,343,260,271,1
B110,B,110,561,526,11,413,446,229,1
B111,B,111,463,637,16,330,596,193,1
B112,B,112,487,516,6,381,473,142,1
B113,B,113,481,511,11,357,436,203,1
B114,B,114,409,494,15,333,419,167,1
B115,B,115,421,323,3,323,275,139,1
B116,B,116,396,455,12,311,383,158,1
B117,B,117,299,278,3,242,225,112,1
B118,B,118,380,428,9,159,599,66,1
B119,B,119,329,392,4,177,457,84,1
B120,B,120,423,443,7,287,296,275,1
B121,B,121,393,367,9,311,254,196,1
B122,B,122,370,332,6,268,232,190,1
B123,B,123,388,387,9,271,289,227,1
B124,B,124,185,859,10,120,731,183,1
B125,B,125,344,441,10,248,335,219,1
B126,B,126,256,608,17,163,428,287,1
B127,B,127,386,532,12,243,459,227,1
B128,B,128,403,436,10,261,417,166,1
B129,B,129,302,537,6,221,520,111,1
B130,B,130,453,581,8,308,451,259,1
B131,B,131,412,349,11,293,261,212,1
B132,B,132,394,285,11,289,288,100,0
B133,B,133,371,425,12,226,281,302,1
B134,B,134,373,441,12,281,354,195,1
B135,B,135,235,296,12,199,240,100,1
B136,B,136,310,245,3,258,207,81,1
B137,B,137,511,459,17,366,366,261,1
B138,B,138,398,321,6,264,298,159,1
B139,B,139,456,401,14,375,304,185,1
B140,B,140,546,452,14,520,349,147,1
B141,B,141,515,424,13,425,327,189,1
B142,B,142,480,498,7,420,393,170,1
B143,B,143,504,525,10,444,395,202,1
B144,B,144,411,460,7,290,382,197,1
B145,B,145,499,508,10,426,425,161,1
B146,B,146,340,528,8,216,507,135,1
B147,B,147,428,613,11,236,670,136,1
B148,B,148,323,491,11,207,488,124,1
B149,B,149,454,521,5,232,628,112,1
B150,B,150,470,516,7,318,231,582,1
B151,B,151,401,537,9,208,213,505,1
B152,B,152,376,374,11,197,81,501,1
B153,B,153,253,312,4,122,78,356,1
B154,B,154,339,367,6,186,132,411,1
B155,B,155,382,520,9,198,139,546,1
B156,B,156,416,488,10,201,125,623,1
B157,B,157,225,163,0,96,36,252,1
B158,B,158,399,440,14,213,150,485,1
B159,B,159,290,306,7,150,114,344,1
B160,B,160,356,424,12,142,108,532,1
B161,B,161,510,538,20,236,135,708,1
B162,B,162,441,419,9,205,131,535,1
B163,B,163,547,589,13,234,134,789,1
B164,B,164,572,435,10,291,141,582,1
B165,B,165,519,527,15,249,177,612,1
B166,B,166,525,521,11,301,215,542,1
B167,B,167,420,470,8,203,132,569,1
B168,B,168,493,425,15,257,124,550,1
B169,B,169,442,395,15,189,152,512,1
B170,B,170,334,340,13,171,132,377,1
B171,B,171,407,424,15,169,132,526,1
B172,B,172,375,408,13,178,109,529,1
B173,B,173,310,440,5,134,76,552,1
B174,B,174,375,476,7,202,146,516,1
B175,B,175,466,542,13,203,128,691,1
B176,B,176,473,462,17,221,120,609,1
B177,B,177,390,476,9,166,168,545,1
B178,B,178,397,412,9,172,128,520,1
B179,B,179,450,544,17,213,239,530,1
B180,B,180,305,370,8,124,79,498,1
B181,B,181,439,405,7,204,127,512,1
B182,B,182,339,372,4,160,176,383,1
B183,B,183,400,395,11,160,188,451,1
B184,B,184,430,510,3,186,221,549,1
B185,B,185,397,387,9,147,180,468,1
B186,B,186,390,437,11,246,360,387,1
B187,B,187,267,300,4,175,238,161,1
B188,B,188,343,468,8,213,361,233,1
