ID,city,NO,VMDPP,VMKMT,VMOTHER,VCDPP,VCKMT,VCOTHER,VP
E1,E,1,25,188,0,4,78,129,0
E2,E,2,42,158,2,8,80,113,0
E3,E,3,15,214,2,2,120,109,0
E4,E,4,18,165,3,3,102,79,0
E5,E,5,69,574,3,18,307,321,0
E6,E,6,65,452,7,31,308,181,0
E7,E,7,36,442,5,8,169,298,0
E8,E,8,34,326,1,7,212,142,0
E9,E,9,31,586,5,6,9,604,0
E10,E,10,56,442,2,43,14,439,0
E11,E,11,61,456,3,10,12,495,0
E12,E,12,147,267,2,113,13,291,0
E13,E,13,101,153,6,84,78,98,1
E14,E,14,166,462,13,174,155,300,0
E15,E,15,154,329,4,162,182,140,0
E16,E,16,413,662,17,476,323,269,0
E17,E,17,277,260,6,302,120,112,1
E18,E,18,206,256,7,190,140,131,1
E19,E,19,166,217,12,127,48,220,1
E20,E,20,245,289,16,173,69,303,1
E21,E,21,203,227,5,122,48,253,1
E22,E,22,275,293,6,191,72,306,1
E23,E,23,295,320,10,332,110,173,1
E24,E,24,364,469,18,388,104,355,1
E25,E,25,265,294,11,286,92,186,1
E26,E,26,293,382,7,275,197,202,1
E27,E,27,300,257,10,300,74,191,1
E28,E,28,298,600,15,340,271,288,1
E29,E,29,249,339,4,290,156,141,0
E30,E,30,419,490,17,402,131,378,1
E31,E,31,109,124,4,149,26,56,1
E32,E,32,234,231,11,245,94,135,1
E33,E,33,272,277,13,368,133,55,1
E34,E,34,425,394,13,493,225,107,1
E35,E,35,208,460,14,269,143,264,1
E36,E,36,164,179,4,167,95,75,0
E37,E,37,427,694,16,494,320,319,1
E38,E,38,408,682,12,475,311,306,1
E39,E,39,364,274,10,378,169,96,1
E40,E,40,149,463,4,159,99,343,0
E41,E,41,425,475,13,576,122,218,1
E42,E,42,299,403,16,429,168,116,1
E43,E,43,267,249,6,332,128,59,0
E44,E,44,295,373,8,297,283,91,1
E45,E,45,145,180,5,152,111,60,1
E46,E,46,121,193,7,130,92,94,1
E47,E,47,155,226,15,178,115,99,1
E48,E,48,322,471,16,359,282,159,1
E49,E,49,407,572,7,495,293,190,1
E50,E,50,562,697,20,406,414,456,1
E51,E,51,199,258,4,160,157,131,1
E52,E,52,316,334,6,197,266,187,1
E53,E,53,134,222,5,47,69,247,1
E54,E,54,155,188,7,165,115,67,1
E55,E,55,236,292,9,334,135,66,1
E56,E,56,253,196,6,271,109,63,1
E57,E,57,260,143,6,282,67,56,1
E58,E,58,157,134,2,54,43,190,1
E59,E,59,227,315,19,246,103,209,1
E60,E,60,320,437,11,268,225,263,1
E61,E,61,344,444,11,247,198,351,1
E62,E,62,301,509,12,303,305,207,1
E63,E,63,369,563,11,356,334,244,1
E64,E,64,270,402,6,289,202,182,1
E65,E,65,240,244,5,218,128,139,1
E66,E,66,321,385,8,381,181,143,1
E67,E,67,194,298,6,243,159,89,1
E68,E,68,351,492,14,389,273,179,1
E69,E,69,55,218,3,99,94,75,1
E70,E,70,321,321,9,363,180,99,1
E71,E,71,113,248,3,138,160,64,1
E72,E,72,491,337,12,489,147,195,1
E73,E,73,291,290,4,337,138,106,0
E74,E,74,385,322,10,410,191,97,1
E75,E,75,485,393,20,532,232,125,0
E76,E,76,71,51,4,104,21,5,1
E77,E,77,285,407,8,264,207,228,1
E78,E,78,385,365,13,364,145,250,1
E79,E,79,322,459,10,311,213,255,1
E80,E,80,320,362,11,336,183,177,1
E81,E,81,218,266,6,207,135,135,1
E82,E,82,335,363,6,380,151,167,1
E83,E,83,368,426,11,384,225,194,1
E84,E,84,365,406,18,393,213,182,1
E85,E,85,349,401,8,372,187,190,1
E86,E,86,421,414,8,383,195,258,1
E87,E,87,73,139,4,32,19,170,1
E88,E,88,209,251,9,199,133,137,1
E89,E,89,462,482,17,400,228,325,1
E90,E,90,377,193,11,372,75,120,1
E91,E,91,503,433,21,524,217,205,1
E92,E,92,331,262,9,288,100,206,1
E93,E,93,525,506,7,512,262,252,1
E94,E,94,170,290,6,158,152,148,1
E95,E,95,356,495,12,324,91,442,1
E96,E,96,391,596,14,382,82,519,1
E97,E,97,240,433,7,203,86,381,1
E98,E,98,329,661,8,287,121,573,1
E99,E,99,361,539,10,243,76,579,1
E100,E,100,321,584,6,213,69,612,0
E101,E,101,220,500,3,164,63,499,1
E102,E,102,258,520,8,195,69,518,0
E103,E,103,321,721,14,243,81,718,0
E104,E,104,273,515,9,176,63,550,0
E105,E,105,283,477,11,269,58,438,1
E106,E,106,434,579,9,274,45,686,1
E107,E,107,311,426,10,230,66,440,0
E108,E,108,186,322,10,189,58,262,0
E109,E,109,251,332,7,244,32,308,0
